Province,ECD_Name,Clasification,Service Type,newOrRenewal,Registration Type,Partial Care Registration (PCR) Status,PCR Level,PCR Certificate Number,PCR issueDate,PCR expiryDate,Prog Registration Status,Prog Registration Level,Prog Registration issueDate,Prog Registration expiryDate,Prog Certificate Number,Land Owner,Building Owner,District Name,Fee Level,No. Children Enrolled,Equitable Share Subsidy,Children Subsidised Equitable Share,Conditional Grant Subsidy,Children Subsided Conditional Grant
Southern Cape,ECD 402,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,69,No,,No,
Southern Cape,ECD 403,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,2,24,No,,No,
Southern Cape,ECD 404,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 405,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 406,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,32,No,,No,
Southern Cape,ECD 407,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,2,12,No,,No,
Southern Cape,ECD 408,Centre based,ECD centre,,,In process,,,,,In process,,,,,Municipality,Municipality,Disitrct 2,2,55,No,,No,
Southern Cape,ECD 409,Centre based,ECD centre,,,In process,,,,,In process,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,9,No,,No,
Southern Cape,ECD 410,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,2,48,No,,No,
Southern Cape,ECD 411,Centre based,ECD centre,,,In process,,,,,In process,,,,,Municipality,Municipality,Disitrct 2,1,18,No,,No,
Southern Cape,ECD 412,Centre based,ECD centre,,,Not registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,2,51,No,,No,
Southern Cape,ECD 413,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 5,3,17,No,,No,
Southern Cape,ECD 414,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,Don't know,Disitrct 3,3,100,No,,No,
Southern Cape,ECD 415,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 5,5,19,No,,No,
Southern Cape,ECD 416,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 5,4,19,No,,No,
Southern Cape,ECD 417,,,,,,,,,,,,,,,,,Disitrct 2,,,No,,No,
Southern Cape,ECD 418,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 4,4,6,No,,No,
Southern Cape,ECD 419,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 5,1,30,No,,No,
Southern Cape,ECD 420,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,1,26,No,,No,
Southern Cape,ECD 421,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,2,4,No,,No,
Southern Cape,ECD 422,Centre based,ECD centre,,,In process,,,,,In process,,,,,Municipality,Municipality,Disitrct 2,1,15,No,,No,
Southern Cape,ECD 423,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,9,No,,No,
Southern Cape,ECD 424,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 5,1,18,No,,No,
Southern Cape,ECD 425,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Communal land (traditional),The ECD Programme,Disitrct 3,3,20,No,,No,
Southern Cape,ECD 426,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,42,No,,No,
Southern Cape,ECD 427,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,43,No,,No,
Southern Cape,ECD 428,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 1,4,22,No,,No,
Southern Cape,ECD 429,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC24/00,2021/06/10,2024/07/16,Conditionally registered,SILVER,2021/06/10,2024/07/16,,The ECD Programme,The ECD Programme,Disitrct 5,1,40,Yes,52,No,
Southern Cape,ECD 430,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC49/06,2020/10/29,2023/10/31,Fully registered,GOLD,2020/10/29,2023/10/31,,The ECD Programme,The ECD Programme,Disitrct 4,1,17,No,,Yes,20
Southern Cape,ECD 431,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,3,No,,No,
Southern Cape,ECD 432,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,60,No,,No,
Southern Cape,ECD 433,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 434,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,3,65,No,,No,
Southern Cape,ECD 435,Centre based,ECD centre,,,In process,,,,,In process,,,,,Municipality,The ECD Programme,Disitrct 3,3,10,No,,No,
Southern Cape,ECD 436,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,9,No,,No,
Southern Cape,ECD 437,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,2,124,No,,No,
Southern Cape,ECD 438,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,26,No,,No,
Southern Cape,ECD 439,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,11,No,,No,
Southern Cape,ECD 440,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,2,19,No,,No,
Southern Cape,ECD 441,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,1,10,No,,No,
Southern Cape,ECD 442,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,23,No,,No,
Southern Cape,ECD 443,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,1,47,No,,No,
Southern Cape,ECD 444,,,,,,,,,,,,,,,,,,,,No,,No,
Southern Cape,ECD 445,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,26,No,,No,
Southern Cape,ECD 446,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,3,3,No,,No,
Southern Cape,ECD 447,,,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 448,Centre based,ECD centre,,,In process,,,,,In process,,,,,Communal land (traditional),The ECD Programme,Disitrct 3,2,10,No,,No,
Southern Cape,ECD 449,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 4,3,15,No,,No,
Southern Cape,ECD 450,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,5,38,No,,No,
Southern Cape,ECD 451,Centre based,ECD centre,,,,,,,,,,,,,"The person in charge of the programme (e.g. principal, matron, child-minder, playgroup leader)","The person in charge of the programme (e.g. principal, matron, child-minder, playgroup leader)",Disitrct 3,1,,No,,No,
Southern Cape,ECD 452,Centre based,ECD centre,,,,,,,,,,,,,"The person in charge of the programme (e.g. principal, matron, child-minder, playgroup leader)",,Disitrct 3,,,No,,No,
Southern Cape,ECD 453,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,2,13,No,,No,
Southern Cape,ECD 454,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,16,No,,No,
Southern Cape,ECD 455,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,1,59,No,,No,
Southern Cape,ECD 456,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,4,58,No,,No,
Southern Cape,ECD 457,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 2,1,,No,,No,
Southern Cape,ECD 458,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Religious institution (e.g. church  mosque),Disitrct 2,3,34,No,,No,
Southern Cape,ECD 459,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 2,1,,No,,No,
Southern Cape,ECD 460,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,2,15,No,,No,
Southern Cape,ECD 461,Centre based,ECD centre,,,In process,,,,,In process,,,,,Another private individual,Another private individual,Disitrct 3,4,19,No,,No,
Southern Cape,ECD 462,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 2,3,7,No,,No,
Southern Cape,ECD 463,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,3,19,No,,No,
Southern Cape,ECD 464,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,4,51,No,,No,
Southern Cape,ECD 465,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,3,37,No,,No,
Southern Cape,ECD 466,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,3,5,No,,No,
Southern Cape,ECD 467,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Another private individual,Disitrct 2,4,27,No,,No,
Southern Cape,ECD 468,Centre based,ECD centre,,,In process,,,,,In process,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,1,6,No,,No,
Southern Cape,ECD 469,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,1,53,No,,No,
Southern Cape,ECD 470,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,6,No,,No,
Southern Cape,ECD 471,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 5,4,24,No,,No,
Southern Cape,ECD 472,Centre based,ECD centre,,,In process,,,,,,,,,,Another private individual,Another private individual,Disitrct 3,4,67,No,,No,
Southern Cape,ECD 473,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 1,3,35,No,,No,
Southern Cape,ECD 474,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Another private individual,Another private individual,Disitrct 3,2,28,No,,No,
Southern Cape,ECD 475,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,18,No,,No,
Southern Cape,ECD 476,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,4,50,No,,No,
Southern Cape,ECD 477,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,3,20,No,,No,
Southern Cape,ECD 478,Centre based,ECD centre,,Non-Centre Based ECD Programme,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,1,14,No,,No,
Southern Cape,ECD 479,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Religious institution (e.g. church  mosque),Disitrct 5,3,78,No,,No,
Southern Cape,ECD 480,Centre based,ECD centre,,,Lapsed registration,,,,,Lapsed registration,,,,,Community Centre,Community Centre,Disitrct 3,1,21,No,,No,
Southern Cape,ECD 481,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 09/99,2011/11/11,2024/11/30,Fully registered,GOLD,2011/11/11,2024/11/30,,Not-for profit organisation,Not-for profit organisation,Disitrct 4,1,27,Yes,40,Yes,40
Southern Cape,ECD 482,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,14,No,,No,
Southern Cape,ECD 483,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC06/00,2019/03/27,2024/03/31,Fully registered,GOLD,2019/03/27,2024/03/31,,Municipality,Municipality,Disitrct 1,1,40,Yes,40,Yes,40
Southern Cape,ECD 484,Centre based,ECD centre,,,In process,,,,,In process,,,,,Community Centre,Community Centre,Disitrct 2,2,15,No,,No,
Southern Cape,ECD 485,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 486,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,1,70,No,,No,
Southern Cape,ECD 487,,,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,DC26/02,2019/11/21,2022/11/30,Lapsed registration,,2019/11/21,2022/11/30,,,,Disitrct 2,1,,Yes,60,No,
Southern Cape,ECD 488,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,2,30,No,,No,
Southern Cape,ECD 489,Centre based,ECD centre,,,Conditionally registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,55,No,,No,
Southern Cape,ECD 490,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,33,No,,No,
Southern Cape,ECD 491,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,2,91,No,,No,
Southern Cape,ECD 492,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC42/06,2022/03/31,2023/09/30,Fully registered,GOLD,2022/03/31,2023/09/30,,Municipality,Municipality,Disitrct 4,1,18,Yes,16,Yes,16
Southern Cape,ECD 493,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 1,2,19,No,,No,
Southern Cape,ECD 494,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC31/97,2020/10/29,2023/10/31,Conditionally registered,SILVER,2020/10/29,2023/10/31,,Municipality,Municipality,Disitrct 1,1,27,Yes,24,Yes,24
Southern Cape,ECD 495,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,2,16,No,,No,
Southern Cape,ECD 496,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC27/97,2021/06/20,2024/06/30,Conditionally registered,SILVER,2021/06/20,2024/06/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,1,41,No,,Yes,36
Southern Cape,ECD 497,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC22/97,2022/03/28,2025/03/31,Conditionally registered,SILVER,2022/03/28,2025/03/31,,Municipality,Municipality,Disitrct 1,1,60,Yes,39,Yes,39
Southern Cape,ECD 498,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,2,4,No,,No,
Southern Cape,ECD 499,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,43,No,,No,
Southern Cape,ECD 500,Centre based,ECD centre,,,In process,,,,,In process,,,,,Municipality,Municipality,Disitrct 2,4,35,No,,No,
Southern Cape,ECD 501,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 502,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,"Religious institution (e.g. church, mosque","Religious institution (e.g. church, mosque",Disitrct 3,2,66,No,,Yes,52
Southern Cape,ECD 503,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 2,1,,No,,No,
Southern Cape,ECD 504,Centre based,ECD centre,,,In process,,,,,In process,,,,,Another private individual,Another private individual,Disitrct 3,1,19,No,,No,
Southern Cape,ECD 505,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,63,No,,No,
Southern Cape,ECD 506,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 507,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 508,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 509,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,12,No,,No,
Southern Cape,ECD 510,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC10/03,2021/07/16,2026/07/31,Conditionally registered,BRONZE,2021/07/16,2026/07/31,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,1,32,Yes,37,Yes,37
Southern Cape,ECD 511,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,2,62,No,,No,
Southern Cape,ECD 512,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,2,59,No,,No,
Southern Cape,ECD 513,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,59,No,,No,
Southern Cape,ECD 514,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,1,12,No,,No,
Southern Cape,ECD 515,Centre based,ECD centre,,,Conditionally registered,,,,,Conditionally registered,,,,,Community Centre,Community Centre,Disitrct 3,1,24,No,,No,
Southern Cape,ECD 516,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,6,No,,No,
Southern Cape,ECD 517,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,58,No,,No,
Southern Cape,ECD 518,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 519,Centre based,ECD centre,,,In process,,,,,In process,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,34,No,,No,
Southern Cape,ECD 520,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,11,No,,No,
Southern Cape,ECD 521,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 62/06,2019/12/19,2024/12/31,Fully registered,GOLD,2019/12/19,2024/12/31,,Community Centre,Community Centre,Disitrct 1,1,30,Yes,40,Yes,40
Southern Cape,ECD 522,,,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 12/19,2019/07/22,2024/07/31,Conditionally registered,BRONZE,2019/07/22,2024/07/31,,,,Disitrct 5,1,,No,,Yes,15
Southern Cape,ECD 523,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,4,4,No,,No,
Southern Cape,ECD 524,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,57,No,,No,
Southern Cape,ECD 525,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,120,No,,No,
Southern Cape,ECD 526,Centre based,ECD centre,New,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,2,14,No,,No,
Southern Cape,ECD 527,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC07/01,2019/03/27,2024/03/31,Conditionally registered,BRONZE,2019/03/27,2024/03/31,,Don't know,Don't know,Disitrct 1,1,51,Yes,32,Yes,32
Southern Cape,ECD 528,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC/04/99,2022/03/28,2027/03/31,Conditionally registered,BRONZE,2022/03/28,2027/03/31,,Municipality,Municipality,Disitrct 1,1,100,Yes,100,No,
Southern Cape,ECD 529,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,,,Disitrct 1,1,,No,,No,
Southern Cape,ECD 530,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,3,15,No,,No,
Southern Cape,ECD 531,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,2,72,No,,No,
Southern Cape,ECD 532,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,Community Centre,Disitrct 3,1,40,No,,No,
Southern Cape,ECD 533,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,11,No,,No,
Southern Cape,ECD 534,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,15,No,,No,
Southern Cape,ECD 535,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,2,15,No,,No,
Southern Cape,ECD 536,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,13,No,,No,
Southern Cape,ECD 537,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,School,School,Disitrct 1,3,15,No,,No,
Southern Cape,ECD 538,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,1,17,No,,No,
Southern Cape,ECD 539,Centre based,ECD centre,,,In process,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,4,35,No,,No,
Southern Cape,ECD 540,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,10,No,,No,
Southern Cape,ECD 541,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,22,No,,No,
Southern Cape,ECD 542,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC30/97,2020/10/07,2023/10/30,Conditionally registered,SILVER,2020/10/07,2023/10/30,,Municipality,Municipality,Disitrct 1,1,17,Yes,11,Yes,11
Southern Cape,ECD 543,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,55,No,,No,
Southern Cape,ECD 544,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,21,No,,No,
Southern Cape,ECD 545,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,72,No,,No,
Southern Cape,ECD 546,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 3,1,80,No,,No,
Southern Cape,ECD 547,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Community Centre,Disitrct 3,3,118,No,,No,
Southern Cape,ECD 548,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC18/98,2022/03/28,2024/03/31,Conditionally registered,SILVER,2022/03/28,2024/03/31,,Municipality,The ECD Programme,Disitrct 5,2,61,Yes,40,Yes,40
Southern Cape,ECD 549,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,78,No,,No,
Southern Cape,ECD 550,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,1,83,No,,No,
Southern Cape,ECD 551,Centre based,ECD centre,,,Fully registered,,,,,In process,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,1,82,No,,No,
Southern Cape,ECD 552,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,BRONZE,DC19/18,2019/11/07,2020/03/31,Lapsed registration,BRONZE,2019/11/07,2020/03/31,,Municipality,Municipality,Disitrct 4,1,21,Yes,22,Yes,22
Southern Cape,ECD 553,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,73,No,,No,
Southern Cape,ECD 554,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Other government institution (not municipality),"Religious institution (e.g. church, mosque",Disitrct 5,3,38,No,,No,
